user_id; birth_year;gender;location
0;1993;male;Medan  Indonesia
1;1992;male;Medan  Indonesia
2;1975;male;Stratford  Ontario
3;1991;female;Tehran  Iran
4;1995;female;
5;1973;female;Tbilisi  Georgia
6;1994;male;Medan  Indonesia
7;1965;female;Medan  Indonesia
8;1979;male;Medan  Indonesia
9;1988;female;Medan  Indonesia
10;1992;male;Medan  Indonesia
11;1996;female;Phnom Penh
12;1993;female;Djokja  Yogyakarta  Indonesia
13;1996;female;Triolet  Mauritius
14;None;male;
15;1992;male;
16;1993;male;
17;1990;male;Surabaya  Indonesia
18;1993;male;Medan  Indonesia
19;None;male;
20;1988;male;Djokja  Yogyakarta  Indonesia
21;1988;female;Plaine Des Papayes  Pamplemousses  Mauritius
22;1992;male;Phnom Penh
23;1994;female;Djokjakarta  Yogyakarta  Indonesia
24;1994;male;Jombang  Jawa Timur  Indonesia
25;1987;male;
26;1993;male;Jakarta  04
27;1988;female;Toronto  Ontario
28;1994;female;Phnom Penh
29;1988;male;Beverly Hills  California
30;1994;male;Medan  Indonesia
31;1992;male;San Juan  Puerto Rico
32;1990;female;Santos  Sao Paulo  Brazil
33;1981;male;Toronto  Ontario
34;1993;male;  
35;1980;female;Palo Alto  CA
36;1994;male;Jambi City
37;1992;male;Medan  Indonesia
38;1985;female;Phnom Penh
39;1993;female;
40;1996;male;Bekasi
41;1993;female;None
42;1980;female;Phnom Pen  Phnum Penh  Cambodia
43;None;male;
44;1994;male;Phnom Pen  Phnum Penh  Cambodia
45;1991;female;Belton  South Carolina
46;1967;female;
47;1988;male;Aleppo  Syria
48;1994;female;New London  Connecticut
49;1997;male;Medan  Indonesia
50;1995;female;Santo Domingo  Dominican Republic
51;1982;female;Alameda  California
52;1987;male;Bangkok  Thailand
53;1993;male;
54;1988;male;Phnom Penh
55;1992;male;Los Angeles  California
56;1994;female;Santo Domingo  Dominican Republic
57;1919;female;Phnom Penh
58;1990;female;New York  New York
59;1996;male;San Clemente  California
60;1996;female;Curepipe  17
61;1994;male;Yogyakarta
62;1978;male;
63;1985;male;Upland  CA
64;1982;male;  
65;1986;male;Sigli  Aceh  Indonesia
66;1994;male;Yogyakarta
67;1997;female;Ripailles  15
68;1993;female;Tbilisi  Georgia
69;1972;female;Amarillo  TX
70;1994;female;Medan  Indonesia
71;1986;male;Long Beach  California
72;1988;male;Chicago  IL
73;1992;female;Jogjakarta  Indonesia
74;1994;male;Santo Domingo  Dominican Republic
75;1971;male;Hamilton  Ontario
76;1994;male;Phnom Penh
77;1989;male;  
78;1991;male;  
79;1994;female;Phnom Penh
80;1989;female;San Antonio  Texas
81;1992;male;Hamilton  Ontario
82;1989;male;Medan  Indonesia
83;1945;male;Bandung  Indonesia
84;1991;male;Phnom Penh
85;1992;male;Malangas
86;1991;;  
87;1996;female;Tbilisi  Georgia
88;1971;female;Fredericton  New Brunswick
89;1994;male;Medan  Indonesia
90;1981;female;
91;1994;male;Jakarta  04
92;1988;male;Santo Domingo  05
93;1983;male;Rose Hill  Mauritius
94;1988;female;
95;1995;male;Medan  Indonesia
96;1997;male;South Orange  NJ
97;1996;female;Moka  15
98;1992;female;Santo Domingo  Dominican Republic
99;1984;female;Edmonton  Alberta
100;1993;male;Phnom Pen  Phnum Penh  Cambodia
101;1992;male;
102;1996;female;Camp De Masque  Flacq  Mauritius
103;1992;female;Yogyakarta
104;1992;male;Medan  Indonesia
105;1995;female;Santo Domingo  Dominican Republic
106;1989;male;Riyadh  10
107;1988;male;Medan  Indonesia
108;1989;female;Long Beach  California
109;1997;female;Santo Domingo  05
110;1991;male;Yogyakarta
111;1989;male;Phnom Penh
112;1990;male;Pomona  California
113;1985;male;
114;1994;female;Phnom Penh  11
115;1985;male;Hollywood  California
116;1981;male;San Francisco  California
